Timestamp,Class,Entry,Exit,Distance_m,Speed_kmh
11-09-2017 00:00,car,WEST,EAST,21.5,67
11-09-2017 00:00,car,EAST,WEST,21.5,61
11-09-2017 00:00,car,SOUTH,NORTH,21.5,60.3
11-09-2017 00:00,car,NORTH,SOUTH,21.5,59.2
11-09-2017 00:00,car,EAST,WEST,21.5,80.4
11-09-2017 00:00,car,NORTH,SOUTH,21.5,55.6
11-09-2017 00:00,car,SOUTH,NORTH,21.5,65.5
11-09-2017 00:00,car,WEST,EAST,21.5,52.8
11-09-2017 00:00,car,EAST,WEST,21.5,44.8
11-09-2017 00:00,car,SOUTH,NORTH,21.5,66.9
11-09-2017 00:00,car,EAST,WEST,21.5,54.7
11-09-2017 00:00,car,NORTH,SOUTH,21.5,71.1
11-09-2017 00:00,car,EAST,WEST,21.5,67.9
11-09-2017 00:00,car,NORTH,SOUTH,21.5,45.3
11-09-2017 00:00,car,WEST,EAST,21.5,59.4
11-09-2017 00:00,car,WEST,EAST,21.5,63
11-09-2017 00:00,car,SOUTH,NORTH,21.5,56.1
11-09-2017 00:00,car,WEST,EAST,21.5,57.8
11-09-2017 00:00,car,WEST,EAST,21.5,59.9
11-09-2017 00:00,car,NORTH,SOUTH,21.5,59.5
11-09-2017 00:00,car,NORTH,SOUTH,21.5,63.1
11-09-2017 00:00,car,EAST,WEST,21.5,64.8
11-09-2017 00:00,car,WEST,EAST,21.5,64.9
11-09-2017 00:01,car,EAST,WEST,21.5,62.8
11-09-2017 00:01,car,EAST,WEST,21.5,73.8
11-09-2017 00:01,car,SOUTH,NORTH,21.5,60.4
11-09-2017 00:01,car,EAST,WEST,21.5,52.4
11-09-2017 00:01,car,WEST,EAST,21.5,63.5
11-09-2017 00:01,car,SOUTH,NORTH,21.5,65.3
11-09-2017 00:01,car,EAST,WEST,21.5,61.1
11-09-2017 00:01,car,EAST,WEST,21.5,64.9
11-09-2017 00:02,car,SOUTH,NORTH,21.5,57.4
11-09-2017 00:02,car,EAST,WEST,21.5,63
11-09-2017 00:02,car,NORTH,SOUTH,21.5,62.2
11-09-2017 00:02,car,SOUTH,NORTH,21.5,64.4
11-09-2017 00:02,car,EAST,WEST,21.5,66.8
11-09-2017 00:02,car,SOUTH,NORTH,21.5,59.3
11-09-2017 00:02,car,NORTH,SOUTH,21.5,55.4
