Timestamp,Class,Entry,Exit,Distance_m,Speed_kmh
06-09-2017 00:00,car,SOUTH,NORTH,21.5,59.1
06-09-2017 00:00,car,WEST,EAST,21.5,49
06-09-2017 00:00,car,WEST,EAST,21.5,75
06-09-2017 00:00,car,WEST,EAST,21.5,57.1
06-09-2017 00:00,car,EAST,WEST,21.5,76.9
06-09-2017 00:00,car,WEST,EAST,21.5,51.5
06-09-2017 00:00,car,EAST,WEST,21.5,61.3
06-09-2017 00:00,car,NORTH,SOUTH,21.5,59.8
06-09-2017 00:00,truck,SOUTH,NORTH,21.5,43.1
06-09-2017 00:00,car,SOUTH,NORTH,21.5,57.2
06-09-2017 00:00,car,SOUTH,NORTH,21.5,64.1
06-09-2017 00:00,car,WEST,EAST,21.5,65.2
06-09-2017 00:00,car,SOUTH,NORTH,21.5,56.9
06-09-2017 00:00,car,WEST,EAST,21.5,54.5
06-09-2017 00:00,car,EAST,WEST,21.5,62.2
06-09-2017 00:00,car,NORTH,SOUTH,21.5,59.1
06-09-2017 00:00,truck,SOUTH,NORTH,21.5,38.8
06-09-2017 00:00,truck,WEST,EAST,21.5,45
06-09-2017 00:00,car,SOUTH,NORTH,21.5,69.1
06-09-2017 00:00,car,WEST,EAST,21.5,43.3
06-09-2017 00:01,car,SOUTH,NORTH,21.5,69.9
06-09-2017 00:01,car,SOUTH,NORTH,21.5,69
06-09-2017 00:01,car,WEST,EAST,21.5,68.9
06-09-2017 00:01,car,WEST,EAST,21.5,60.9
06-09-2017 00:01,car,SOUTH,NORTH,21.5,67.9
06-09-2017 00:01,car,WEST,EAST,21.5,63.3
06-09-2017 00:01,car,WEST,EAST,21.5,65.2
06-09-2017 00:01,car,WEST,EAST,21.5,56.6
06-09-2017 00:01,car,EAST,WEST,21.5,54.9
06-09-2017 00:01,car,SOUTH,NORTH,21.5,64.9
06-09-2017 00:01,car,NORTH,SOUTH,21.5,67.5
06-09-2017 00:01,car,WEST,EAST,21.5,65.4
06-09-2017 00:02,car,EAST,WEST,21.5,57.2
06-09-2017 00:02,car,WEST,EAST,21.5,60
06-09-2017 00:02,car,EAST,WEST,21.5,48.9
06-09-2017 00:02,car,EAST,WEST,21.5,69.3
06-09-2017 00:02,car,EAST,WEST,21.5,55.1
06-09-2017 00:02,car,NORTH,SOUTH,21.5,64.9
06-09-2017 00:02,car,EAST,WEST,21.5,54.4
06-09-2017 00:02,car,WEST,EAST,21.5,52.8
06-09-2017 00:02,car,WEST,EAST,21.5,53.9
06-09-2017 00:02,car,WEST,EAST,21.5,61.2
06-09-2017 00:02,car,EAST,WEST,21.5,60.3
06-09-2017 00:02,car,WEST,EAST,21.5,60.6
06-09-2017 00:02,car,NORTH,SOUTH,21.5,65.9
06-09-2017 00:02,truck,WEST,EAST,21.5,41.2
06-09-2017 00:02,car,EAST,WEST,21.5,50.5
06-09-2017 00:03,car,SOUTH,NORTH,21.5,52.7
06-09-2017 00:03,car,EAST,WEST,21.5,64.9
06-09-2017 00:03,car,EAST,WEST,21.5,62.2
06-09-2017 00:03,car,EAST,WEST,21.5,53.8
06-09-2017 00:03,car,EAST,WEST,21.5,61.5
06-09-2017 00:03,car,EAST,WEST,21.5,66
06-09-2017 00:03,car,SOUTH,NORTH,21.5,59.3
06-09-2017 00:03,bus,EAST,WEST,21.5,37
06-09-2017 00:04,car,SOUTH,NORTH,21.5,52.9
06-09-2017 00:04,car,SOUTH,NORTH,21.5,61.5
06-09-2017 00:04,car,NORTH,SOUTH,21.5,70.9
06-09-2017 00:04,car,EAST,WEST,21.5,73.8
06-09-2017 00:04,car,EAST,WEST,21.5,43.6
06-09-2017 00:05,car,NORTH,SOUTH,21.5,63.8
06-09-2017 00:05,car,NORTH,SOUTH,21.5,52.8
06-09-2017 00:05,car,SOUTH,NORTH,21.5,75.3
06-09-2017 00:05,car,NORTH,SOUTH,21.5,54.9
06-09-2017 00:05,car,NORTH,SOUTH,21.5,54.8
06-09-2017 00:06,truck,SOUTH,NORTH,21.5,43.9
06-09-2017 00:06,truck,WEST,EAST,21.5,41.2
06-09-2017 00:06,car,NORTH,SOUTH,21.5,72.9
06-09-2017 00:06,car,SOUTH,NORTH,21.5,72.5
06-09-2017 00:06,car,SOUTH,NORTH,21.5,71.1
06-09-2017 00:07,car,NORTH,SOUTH,21.5,68.7
06-09-2017 00:07,car,EAST,WEST,21.5,68.5
06-09-2017 00:08,car,NORTH,SOUTH,21.5,72.8
06-09-2017 00:08,car,EAST,WEST,21.5,61.5
06-09-2017 00:08,car,SOUTH,NORTH,21.5,68.5
06-09-2017 00:09,car,SOUTH,NORTH,21.5,51
06-09-2017 00:09,car,NORTH,SOUTH,21.5,55.9
06-09-2017 00:10,car,EAST,WEST,21.5,54.6
06-09-2017 00:10,bus,EAST,WEST,21.5,44.3
06-09-2017 00:12,car,SOUTH,NORTH,21.5,56.2
06-09-2017 00:12,car,EAST,WEST,21.5,50.9
06-09-2017 00:12,car,EAST,WEST,21.5,61.7
06-09-2017 00:13,car,EAST,WEST,21.5,68.2
06-09-2017 00:15,car,NORTH,SOUTH,21.5,63.3
06-09-2017 00:15,car,EAST,WEST,21.5,47.2
06-09-2017 00:16,car,NORTH,SOUTH,21.5,62.1
06-09-2017 00:17,car,WEST,EAST,21.5,61.4
06-09-2017 00:19,car,WEST,EAST,21.5,75.9
06-09-2017 00:20,bus,WEST,EAST,21.5,33.9
06-09-2017 00:20,car,SOUTH,NORTH,21.5,56.7
06-09-2017 00:20,car,NORTH,SOUTH,21.5,53
06-09-2017 00:20,car,NORTH,SOUTH,21.5,63.6
06-09-2017 00:20,car,WEST,EAST,21.5,68.5
06-09-2017 00:21,car,EAST,WEST,21.5,56.2
06-09-2017 00:21,car,EAST,WEST,21.5,72.3
06-09-2017 00:22,car,NORTH,SOUTH,21.5,54.6
06-09-2017 00:22,truck,NORTH,SOUTH,21.5,44.5
06-09-2017 00:23,car,EAST,WEST,21.5,60
06-09-2017 00:23,car,EAST,WEST,21.5,67.7
06-09-2017 00:23,car,EAST,WEST,21.5,47.5
06-09-2017 00:24,car,WEST,EAST,21.5,57.5
06-09-2017 00:24,car,NORTH,SOUTH,21.5,61.6
06-09-2017 00:24,car,SOUTH,NORTH,21.5,68
06-09-2017 00:24,car,SOUTH,NORTH,21.5,61.7
06-09-2017 00:24,car,EAST,WEST,21.5,57.6
06-09-2017 00:24,car,EAST,WEST,21.5,62.9
06-09-2017 00:24,car,WEST,EAST,21.5,56.1
06-09-2017 00:25,car,EAST,WEST,21.5,73.3
06-09-2017 00:25,car,SOUTH,NORTH,21.5,57.7
06-09-2017 00:26,car,WEST,EAST,21.5,64.4
06-09-2017 00:27,car,WEST,EAST,21.5,50.9
06-09-2017 00:27,car,SOUTH,NORTH,21.5,73.7
06-09-2017 00:28,car,NORTH,SOUTH,21.5,56.7
06-09-2017 00:28,car,NORTH,SOUTH,21.5,71.1
06-09-2017 00:28,car,SOUTH,NORTH,21.5,64.9
06-09-2017 00:28,car,SOUTH,NORTH,21.5,55
06-09-2017 00:28,truck,NORTH,SOUTH,21.5,33.4
06-09-2017 00:29,car,NORTH,SOUTH,21.5,56.1
06-09-2017 00:29,car,NORTH,SOUTH,21.5,64.8
06-09-2017 00:29,car,NORTH,SOUTH,21.5,70.5
06-09-2017 00:29,car,EAST,WEST,21.5,41.8
06-09-2017 00:30,car,EAST,WEST,21.5,60
06-09-2017 00:30,car,EAST,WEST,21.5,60.5
06-09-2017 00:30,truck,NORTH,SOUTH,21.5,37
06-09-2017 00:30,car,SOUTH,NORTH,21.5,62.6
06-09-2017 00:31,car,SOUTH,NORTH,21.5,56.5
06-09-2017 00:31,car,SOUTH,NORTH,21.5,63
06-09-2017 00:32,car,NORTH,SOUTH,21.5,65.4
06-09-2017 00:32,car,SOUTH,NORTH,21.5,67.3
06-09-2017 00:32,car,NORTH,SOUTH,21.5,64.5
06-09-2017 00:33,car,WEST,EAST,21.5,60.7
06-09-2017 00:34,car,EAST,WEST,21.5,73.3
06-09-2017 00:35,car,WEST,EAST,21.5,71.7
06-09-2017 00:35,car,EAST,WEST,21.5,60.8
06-09-2017 00:35,car,SOUTH,NORTH,21.5,65.9
06-09-2017 00:36,car,EAST,WEST,21.5,71.6
06-09-2017 00:36,car,EAST,WEST,21.5,56.8
06-09-2017 00:37,car,WEST,EAST,21.5,55.2
06-09-2017 00:37,car,SOUTH,NORTH,21.5,64.7
06-09-2017 00:37,car,EAST,WEST,21.5,71.5
06-09-2017 00:37,car,SOUTH,NORTH,21.5,66.3
06-09-2017 00:38,car,NORTH,SOUTH,21.5,74.1
06-09-2017 00:38,car,EAST,WEST,21.5,59.5
06-09-2017 00:39,car,NORTH,SOUTH,21.5,58.7
06-09-2017 00:39,car,SOUTH,NORTH,21.5,49.2
06-09-2017 00:39,car,SOUTH,NORTH,21.5,69.8
06-09-2017 00:40,car,NORTH,SOUTH,21.5,61.2
06-09-2017 00:41,car,WEST,EAST,21.5,50.2
06-09-2017 00:41,car,NORTH,SOUTH,21.5,57.9
06-09-2017 00:41,car,EAST,WEST,21.5,74.9
06-09-2017 00:42,car,NORTH,SOUTH,21.5,48.6
06-09-2017 00:42,car,EAST,WEST,21.5,58.2
06-09-2017 00:43,car,NORTH,SOUTH,21.5,52.3
06-09-2017 00:43,car,WEST,EAST,21.5,63
06-09-2017 00:43,car,EAST,WEST,21.5,59.4
06-09-2017 00:44,car,WEST,EAST,21.5,52.4
06-09-2017 00:45,car,SOUTH,NORTH,21.5,64.1
